name,article_quality,country,Population (millions),region,revision_id
Ibrahim Dalliu,Start,Albania,2.8,SOUTHERN EUROPE,1087026828
Niazi Demi,Stub,Albania,2.8,SOUTHERN EUROPE,1104589367
Abdurrahman Dibra,Start,Albania,2.8,SOUTHERN EUROPE,1101365003
Fuad Dibra,Start,Albania,2.8,SOUTHERN EUROPE,1079550815
Isuf Dibra,Start,Albania,2.8,SOUTHERN EUROPE,1108975040
Bujar Dida,C,Albania,2.8,SOUTHERN EUROPE,1112281152
Ahmed Dino,Stub,Albania,2.8,SOUTHERN EUROPE,1114424802
Rasih Dino,Stub,Albania,2.8,SOUTHERN EUROPE,1067061654
Ferhat Bey Draga,C,Albania,2.8,SOUTHERN EUROPE,1101927317
Nexhip Draga,GA,Albania,2.8,SOUTHERN EUROPE,1092914547
Aqif Pasha Elbasani,B,Albania,2.8,SOUTHERN EUROPE,1114425909
Abas Ermenji,Start,Albania,2.8,SOUTHERN EUROPE,1073827690
Bajram Fevziu,Start,Albania,2.8,SOUTHERN EUROPE,1089008480
Qamil Musa Haxhi Feza,Stub,Albania,2.8,SOUTHERN EUROPE,1015553118
Themistokli Gërmenji,C,Albania,2.8,SOUTHERN EUROPE,1099714241
Sabri Godo,C,Albania,2.8,SOUTHERN EUROPE,1105835401
Mihal Grameno,C,Albania,2.8,SOUTHERN EUROPE,1095879069
Aćif Hadžiahmetović,GA,Albania,2.8,SOUTHERN EUROPE,1104696112
Albulena Haxhiu,Stub,Albania,2.8,SOUTHERN EUROPE,1095286065
High Council of Regency,C,Albania,2.8,SOUTHERN EUROPE,1107096289
Spiridon Kacarosi,Stub,Albania,2.8,SOUTHERN EUROPE,993288548
Kurt Agë Kadiu,Stub,Albania,2.8,SOUTHERN EUROPE,998414015
Mehmed Kalakula,Stub,Albania,2.8,SOUTHERN EUROPE,979382854
Alfred Karamuço,Stub,Albania,2.8,SOUTHERN EUROPE,1098236555
Ibrahim Karbunara,Start,Albania,2.8,SOUTHERN EUROPE,1053849574
Ali Këlcyra,C,Albania,2.8,SOUTHERN EUROPE,1069956844
Belind Këlliçi,C,Albania,2.8,SOUTHERN EUROPE,1114971095
Bajram Kelmendi,Start,Albania,2.8,SOUTHERN EUROPE,1098232331
Kristo Kirka,C,Albania,2.8,SOUTHERN EUROPE,1071577370
Elez Koçi,Start,Albania,2.8,SOUTHERN EUROPE,919356105
Ali Riza Kolonja,Start,Albania,2.8,SOUTHERN EUROPE,1095185542
Glauk Konjufca,Start,Albania,2.8,SOUTHERN EUROPE,1110511667
Xhelal Koprëncka,Stub,Albania,2.8,SOUTHERN EUROPE,1106794268
Kryeziu family,Start,Albania,2.8,SOUTHERN EUROPE,1113466121
Artur Kuko,Stub,Albania,2.8,SOUTHERN EUROPE,1112281132
Xhavid Leskoviku,Start,Albania,2.8,SOUTHERN EUROPE,1080104315
Sabit Lulo,Stub,Albania,2.8,SOUTHERN EUROPE,1071576324
Gjon Markagjoni,C,Albania,2.8,SOUTHERN EUROPE,1114419158
Tefik Mborja,Start,Albania,2.8,SOUTHERN EUROPE,1112281218
Fatmir Mediu,Stub,Albania,2.8,SOUTHERN EUROPE,1108640753
Hysni Milloshi,Start,Albania,2.8,SOUTHERN EUROPE,1111101481
Musa Qazimi,GA,Albania,2.8,SOUTHERN EUROPE,1085455681
Mustafa Ndroqi,Stub,Albania,2.8,SOUTHERN EUROPE,1091483288
Behxhet Nepravishta,Stub,Albania,2.8,SOUTHERN EUROPE,1114419169
Adrian Neritani,Start,Albania,2.8,SOUTHERN EUROPE,1112281129
Sali Nivica,Start,Albania,2.8,SOUTHERN EUROPE,1074384873
Thoma Orologa,Start,Albania,2.8,SOUTHERN EUROPE,1114419178
Bedri Pejani,C,Albania,2.8,SOUTHERN EUROPE,1080373501
Pertef Pogoni,Stub,Albania,2.8,SOUTHERN EUROPE,1071576384
Kadri Prishtina,Start,Albania,2.8,SOUTHERN EUROPE,1115424613
Ymer Prizreni,Start,Albania,2.8,SOUTHERN EUROPE,1114419180
Avni Rustemi,C,Albania,2.8,SOUTHERN EUROPE,1113688253
Chatin Sarachi,C,Albania,2.8,SOUTHERN EUROPE,1089622596
Nebi Sefa,Stub,Albania,2.8,SOUTHERN EUROPE,978173646
Eduard Shalsi,Start,Albania,2.8,SOUTHERN EUROPE,1090651886
Ylli Vesel Shehu,Stub,Albania,2.8,SOUTHERN EUROPE,1002857261
Athanas Shundi,B,Albania,2.8,SOUTHERN EUROPE,1090001664
Xhelal Sveçla,Start,Albania,2.8,SOUTHERN EUROPE,1110419834
Mehmet Tahsini,Stub,Albania,2.8,SOUTHERN EUROPE,1089358942
Ibrahim Temo,GA,Albania,2.8,SOUTHERN EUROPE,1114899959
Pavli Terka,Start,Albania,2.8,SOUTHERN EUROPE,1107079359
Afrim Tole,Stub,Albania,2.8,SOUTHERN EUROPE,1091240960
Sejfi Vllamasi,Start,Albania,2.8,SOUTHERN EUROPE,1073823015
Syrja Vlora,Start,Albania,2.8,SOUTHERN EUROPE,1109383587
Visarion Xhuvani,C,Albania,2.8,SOUTHERN EUROPE,1115321286
Visar Ymeri,Stub,Albania,2.8,SOUTHERN EUROPE,1036757024
Visar Ymeri,Stub,Kosovo,1.8,SOUTHERN EUROPE,1036757024
Abdyl Ypi,Stub,Albania,2.8,SOUTHERN EUROPE,1075914314
Xhezair Zaganjori,Start,Albania,2.8,SOUTHERN EUROPE,1106753028
Menduh Zavalani,GA,Albania,2.8,SOUTHERN EUROPE,1071577719
Ali Aliu,Start,Kosovo,1.8,SOUTHERN EUROPE,1088823081
Sejdo Bajramović,Start,Kosovo,1.8,SOUTHERN EUROPE,1106919692
Hamza Balje,Stub,Kosovo,1.8,SOUTHERN EUROPE,988565530
Bekim Çollaku,Start,Kosovo,1.8,SOUTHERN EUROPE,989081930
Veli Deva,Stub,Kosovo,1.8,SOUTHERN EUROPE,1097087563
Bajram Gecaj,Start,Kosovo,1.8,SOUTHERN EUROPE,1085013172
Getoar Mjeku,GA,Kosovo,1.8,SOUTHERN EUROPE,1110432610
Mulla Idriz Gjilani,Start,Kosovo,1.8,SOUTHERN EUROPE,1109348179
Bajram Hasani,Stub,Kosovo,1.8,SOUTHERN EUROPE,1068907924
Adem Hodža,Start,Kosovo,1.8,SOUTHERN EUROPE,1089913595
Adrijana Hodžić,Start,Kosovo,1.8,SOUTHERN EUROPE,1059619919
Oliver Ivanović,C,Kosovo,1.8,SOUTHERN EUROPE,1110781072
Oliver Ivanović,C,Serbia,6.8,SOUTHERN EUROPE,1110781072
Ragip Jashari,Stub,Kosovo,1.8,SOUTHERN EUROPE,933663830
Elbert Krasniqi,Start,Kosovo,1.8,SOUTHERN EUROPE,1100006829
Rrahman Morina,Start,Kosovo,1.8,SOUTHERN EUROPE,1047859449
Hasan Prishtina,C,Kosovo,1.8,SOUTHERN EUROPE,1114419215
Gazmend Pula,Stub,Kosovo,1.8,SOUTHERN EUROPE,1113326325
Goran Rakić,C,Kosovo,1.8,SOUTHERN EUROPE,1105188963
Goran Rakić,C,Serbia,6.8,SOUTHERN EUROPE,1105188963
Nenad Rašić,Stub,Kosovo,1.8,SOUTHERN EUROPE,1041150203
Selim Selimi,Stub,Kosovo,1.8,SOUTHERN EUROPE,1102497560
Igor Simić,Start,Kosovo,1.8,SOUTHERN EUROPE,1110535502
Rexhai Surroi,Start,Kosovo,1.8,SOUTHERN EUROPE,1034004343
Rada Trajković,Start,Kosovo,1.8,SOUTHERN EUROPE,1109175174
Said Abadou,Stub,Algeria,44.9,NORTHERN AFRICA,1112193748
Tahar Allan,Stub,Algeria,44.9,NORTHERN AFRICA,1059626268
Mohamed Seghir Babes,Stub,Algeria,44.9,NORTHERN AFRICA,1079379844
Djelloul Baghli,Stub,Algeria,44.9,NORTHERN AFRICA,1053461392
Noureddine Bahbouh,Stub,Algeria,44.9,NORTHERN AFRICA,1099284595
Lamine Bechichi,Stub,Algeria,44.9,NORTHERN AFRICA,1111537825
Bakhti Belaïb,Stub,Algeria,44.9,NORTHERN AFRICA,1107713309
Mohamed Belouizdad,Start,Algeria,44.9,NORTHERN AFRICA,1102331624
Mourad Benachenou,Stub,Algeria,44.9,NORTHERN AFRICA,1091746754
Benaouda Hadj Hacène Bachterzi,Stub,Algeria,44.9,NORTHERN AFRICA,1064464792
Souad Bendjaballah,Stub,Algeria,44.9,NORTHERN AFRICA,1064463751
Mohammed Saleh Bendjelloul,Stub,Algeria,44.9,NORTHERN AFRICA,1064459314
Mohamed Bensalam,Stub,Algeria,44.9,NORTHERN AFRICA,1053464158
Said Boualam,Start,Algeria,44.9,NORTHERN AFRICA,1104123484
Abdeslam Bouchouareb,Stub,Algeria,44.9,NORTHERN AFRICA,1053459025
Brahim Chibout,Stub,Algeria,44.9,NORTHERN AFRICA,1053460621
Bouras Djamel,Stub,Algeria,44.9,NORTHERN AFRICA,1072064909
Ahmed Djebbar,Stub,Algeria,44.9,NORTHERN AFRICA,1112131049
Fatiha Serour,Start,Algeria,44.9,NORTHERN AFRICA,1019766063
Mohamed Hassaïne,C,Algeria,44.9,NORTHERN AFRICA,1098798192
Ibrahim Boughali,Stub,Algeria,44.9,NORTHERN AFRICA,1110540602
Abdenour Keramane,Stub,Algeria,44.9,NORTHERN AFRICA,1028900906
Abelkader Khamri,Stub,Algeria,44.9,NORTHERN AFRICA,1088927932
Mahmoud Khedri,Stub,Algeria,44.9,NORTHERN AFRICA,1102198843
Mohamed Laïchoubi,Stub,Algeria,44.9,NORTHERN AFRICA,1053469601
Sassi Lamouri,Stub,Algeria,44.9,NORTHERN AFRICA,1053478920
Mohamed Maghlaoui,Stub,Algeria,44.9,NORTHERN AFRICA,1053469610
Amar Makhloufi,Stub,Algeria,44.9,NORTHERN AFRICA,1053459748
Hacen Mefti,Stub,Algeria,44.9,NORTHERN AFRICA,1053461924
Mokhtar Meherzi,Stub,Algeria,44.9,NORTHERN AFRICA,1028900891
Mohamed Elias Mesli,Stub,Algeria,44.9,NORTHERN AFRICA,1009461580
Azzedine Mihoubi,Start,Algeria,44.9,NORTHERN AFRICA,1031600815
Cherif Rahmani,Stub,Algeria,44.9,NORTHERN AFRICA,1053461144
Naima Salhi,Stub,Algeria,44.9,NORTHERN AFRICA,1113203380
Guillem d'Areny-Plandolit,FA,Andorra,0.1,SOUTHERN EUROPE,1100710928
Guillem Areny,Stub,Andorra,0.1,SOUTHERN EUROPE,1101200095
Joan Armengol,Stub,Andorra,0.1,SOUTHERN EUROPE,1105550472
Francesc Badia Batalla,Stub,Andorra,0.1,SOUTHERN EUROPE,1102180575
Josep Maria Beal,Stub,Andorra,0.1,SOUTHERN EUROPE,1104772844
Climent Palmitjavila,Stub,Andorra,0.1,SOUTHERN EUROPE,1102731108
Antoni Puigdellívol,Start,Andorra,0.1,SOUTHERN EUROPE,1100253414
Òscar Ribas Reig,C,Andorra,0.1,SOUTHERN EUROPE,1105529195
Boris Skossyreff,GA,Andorra,0.1,SOUTHERN EUROPE,1114575861
Enric Tarrado Vives,Stub,Andorra,0.1,SOUTHERN EUROPE,986671433
Alexandre Sebastião André,Stub,Angola,35.6,MIDDLE AFRICA,979043156
Isaac Maria dos Anjos,Stub,Angola,35.6,MIDDLE AFRICA,1087791055
Paulino Baptista,Start,Angola,35.6,MIDDLE AFRICA,1098277989
João Baptista Borges,Start,Angola,35.6,MIDDLE AFRICA,1108136082
Branca Manuel Espirito Santo,Stub,Angola,35.6,MIDDLE AFRICA,1082903108
André Luís Brandão,Stub,Angola,35.6,MIDDLE AFRICA,1092527809
